timestamp,severity,checker,module,message
2025-12-01 00:03:39.021000,LOW,capture_trigger_checker,MsmSystem,"Start code '2981714' received, requesting new capture with payload:{""IdRemito"":2981714,""FechaHora"":""2025-12-01T00:03:39.9129455-03:00"",""Especie"":231,""Largo"":""6800-7400 var"",""VolumenArbol"":0.4,""Categoria"":1,""TipoCamion"":null,""CantidadBancos"":0,""CantidadVehiculos"":0,""PesoNeto"":31.720,""PesoBruto"":46.980,""AlturaMaxima"":0.0,""Proveedor"":""no"",""IdModelo"":4,""Matricula"":""RTP4237"",""Establecimiento"":""URU-LUNA NUEVA C273"",""DensidadMinima"":701.0,""DensidadMaxima"":776.0}"
2025-12-01 00:04:34.436000,MEDIUM,warning_checker,MsmSystem,"[LM-ULT1-M-0000190817] ID Manager: not vehicle ID available,"
2025-12-01 00:04:58.284000,MEDIUM,warning_checker,Main,"No se pudo insertar el valor, dejare la glosa de reemplazo category"
2025-12-01 00:04:58.288000,MEDIUM,warning_checker,Main,"No se pudo insertar el valor, dejare la glosa de reemplazo bark"
2025-12-01 00:04:58.304000,MEDIUM,warning_checker,Main,No se pudo insertar el valor solidVolumeReference
2025-12-01 00:04:58.316000,MEDIUM,warning_checker,Main,No se pudo insertar el valor stereoVolumeReference
2025-12-01 00:04:58.418000,HIGH,error_message_checker,WebserviceManager,"Error leyendo finalizacion del evento, se asume no finalizado"
2025-12-01 00:04:58.418000,MEDIUM,warning_checker,WebserviceManager,"Error leyendo finalizacion del evento, se asume no finalizado"
2025-12-01 00:05:18.042000,HIGH,error_message_checker,CalculateMLVolume,"{""process_id"":"""",""result"":""0.6568302500000001"",""model_name"":""una_grapada_72"",""error"":""""}"
2025-12-01 00:05:18.575000,HIGH,error_message_checker,CalculateMLVolume,"{""process_id"":"""",""result"":""0.62089757"",""model_name"":""una_grapada_72"",""error"":""""}"
2025-12-01 00:05:29.591000,LOW,capture_finalization_checker,Engine,Event LM-ULT1-M-0000190817 finalized as event_approved
2025-12-01 00:05:33.823000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeReference
2025-12-01 00:05:33.823000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace solidVolumeReference
2025-12-01 00:05:33.825000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-01 00:05:33.825000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-01 00:05:33.828000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeReference
2025-12-01 00:05:33.828000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace stereoVolumeReference
2025-12-01 00:05:33.831000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-01 00:05:33.831000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-01 00:05:33.849000,HIGH,error_message_checker,DBConfigStorage,Warning al leer trace calc_error
2025-12-01 00:05:33.849000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace calc_error
2025-12-01 00:19:50.716000,LOW,capture_trigger_checker,MsmSystem,"Start code '2981656' received, requesting new capture with payload:{""IdRemito"":2981656,""FechaHora"":""2025-12-01T00:19:51.3008359-03:00"",""Especie"":231,""Largo"":""6800-7400 var"",""VolumenArbol"":0.3,""Categoria"":1,""TipoCamion"":""Autocargante"",""CantidadBancos"":6,""CantidadVehiculos"":1,""PesoNeto"":33.260,""PesoBruto"":48.100,""AlturaMaxima"":4.300,""Proveedor"":""si"",""IdModelo"":2,""Matricula"":""RTP3528"",""Establecimiento"":""Frimosa P2 (FRDLP)"",""DensidadMinima"":657.0,""DensidadMaxima"":741.0}"
2025-12-01 00:21:13.138000,MEDIUM,warning_checker,MsmSystem,"[LM-ULT1-M-0000190818] ID Manager: not vehicle ID available,"
2025-12-01 00:21:39.722000,MEDIUM,warning_checker,Main,"No se pudo insertar el valor, dejare la glosa de reemplazo category"
2025-12-01 00:21:39.726000,MEDIUM,warning_checker,Main,"No se pudo insertar el valor, dejare la glosa de reemplazo bark"
2025-12-01 00:21:39.742000,MEDIUM,warning_checker,Main,No se pudo insertar el valor solidVolumeReference
2025-12-01 00:21:39.753000,MEDIUM,warning_checker,Main,No se pudo insertar el valor stereoVolumeReference
2025-12-01 00:21:39.851000,HIGH,error_message_checker,WebserviceManager,"Error leyendo finalizacion del evento, se asume no finalizado"
2025-12-01 00:21:39.851000,MEDIUM,warning_checker,WebserviceManager,"Error leyendo finalizacion del evento, se asume no finalizado"
2025-12-01 00:22:02.928000,HIGH,error_message_checker,CalculateMLVolume,"{""process_id"":"""",""result"":""0.634639935"",""model_name"":""una_grapada_72"",""error"":""""}"
2025-12-01 00:22:03.460000,HIGH,error_message_checker,CalculateMLVolume,"{""process_id"":"""",""result"":""0.63272335"",""model_name"":""una_grapada_72"",""error"":""""}"
2025-12-01 00:22:15.050000,LOW,capture_finalization_checker,Engine,Event LM-ULT1-M-0000190818 finalized as event_approved
2025-12-01 00:22:19.129000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeReference
2025-12-01 00:22:19.129000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace solidVolumeReference
2025-12-01 00:22:19.131000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-01 00:22:19.131000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-01 00:22:19.134000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeReference
2025-12-01 00:22:19.134000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace stereoVolumeReference
2025-12-01 00:22:19.136000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-01 00:22:19.136000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-01 00:22:19.156000,HIGH,error_message_checker,DBConfigStorage,Warning al leer trace calc_error
2025-12-01 00:22:19.156000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace calc_error
2025-12-01 00:22:51.151000,LOW,capture_trigger_checker,MsmSystem,"Start code '2981757' received, requesting new capture with payload:{""IdRemito"":2981757,""FechaHora"":""2025-12-01T00:22:51.8776221-03:00"",""Especie"":197,""Largo"":""6800-7400 var"",""VolumenArbol"":0.14,""Categoria"":1,""TipoCamion"":null,""CantidadBancos"":0,""CantidadVehiculos"":0,""PesoNeto"":29.180,""PesoBruto"":44.680,""AlturaMaxima"":0.0,""Proveedor"":""no"",""IdModelo"":1,""Matricula"":""QTP3299"",""Establecimiento"":""Villarural S.A. - Next Gen SAS"",""DensidadMinima"":690.0,""DensidadMaxima"":791.0}"
2025-12-01 00:23:51.745000,MEDIUM,warning_checker,MsmSystem,"[LM-ULT1-M-0000190819] ID Manager: not vehicle ID available,"
2025-12-01 00:24:17.345000,MEDIUM,warning_checker,Main,"No se pudo insertar el valor, dejare la glosa de reemplazo category"
2025-12-01 00:24:17.349000,MEDIUM,warning_checker,Main,"No se pudo insertar el valor, dejare la glosa de reemplazo bark"
2025-12-01 00:24:17.366000,MEDIUM,warning_checker,Main,No se pudo insertar el valor solidVolumeReference
2025-12-01 00:24:17.378000,MEDIUM,warning_checker,Main,No se pudo insertar el valor stereoVolumeReference
2025-12-01 00:24:17.477000,HIGH,error_message_checker,WebserviceManager,"Error leyendo finalizacion del evento, se asume no finalizado"
2025-12-01 00:24:17.477000,MEDIUM,warning_checker,WebserviceManager,"Error leyendo finalizacion del evento, se asume no finalizado"
2025-12-01 00:24:39.785000,HIGH,error_message_checker,CalculateMLVolume,"{""process_id"":"""",""result"":""0.49824867000000006"",""model_name"":""una_grapada_72"",""error"":""""}"
2025-12-01 00:24:40.321000,HIGH,error_message_checker,CalculateMLVolume,"{""process_id"":"""",""result"":""0.5146586200000001"",""model_name"":""una_grapada_72"",""error"":""""}"
2025-12-01 00:24:52.516000,LOW,capture_finalization_checker,Engine,Event LM-ULT1-M-0000190819 finalized as event_approved
2025-12-01 00:24:56.744000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeReference
2025-12-01 00:24:56.744000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace solidVolumeReference
2025-12-01 00:24:56.747000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-01 00:24:56.747000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-01 00:24:56.751000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeReference
2025-12-01 00:24:56.751000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace stereoVolumeReference
2025-12-01 00:24:56.753000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-01 00:24:56.753000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-01 00:24:56.775000,HIGH,error_message_checker,DBConfigStorage,Warning al leer trace calc_error
2025-12-01 00:24:56.775000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace calc_error
2025-12-01 00:55:53.075000,LOW,capture_trigger_checker,MsmSystem,"Start code '2981758' received, requesting new capture with payload:{""IdRemito"":2981758,""FechaHora"":""2025-12-01T00:55:53.5975301-03:00"",""Especie"":231,""Largo"":""6800-7400 var"",""VolumenArbol"":0.4,""Categoria"":1,""TipoCamion"":null,""CantidadBancos"":0,""CantidadVehiculos"":0,""PesoNeto"":31.220,""PesoBruto"":46.140,""AlturaMaxima"":0.0,""Proveedor"":""no"",""IdModelo"":4,""Matricula"":""NTP6502"",""Establecimiento"":""URU-EL CARPINTERO 1 C273"",""DensidadMinima"":670.0,""DensidadMaxima"":740.0}"
2025-12-01 00:56:48.779000,MEDIUM,warning_checker,MsmSystem,"[LM-ULT1-M-0000190820] ID Manager: not vehicle ID available,"
2025-12-01 00:57:12.262000,MEDIUM,warning_checker,Main,"No se pudo insertar el valor, dejare la glosa de reemplazo category"
2025-12-01 00:57:12.266000,MEDIUM,warning_checker,Main,"No se pudo insertar el valor, dejare la glosa de reemplazo bark"
2025-12-01 00:57:12.281000,MEDIUM,warning_checker,Main,No se pudo insertar el valor solidVolumeReference
2025-12-01 00:57:12.293000,MEDIUM,warning_checker,Main,No se pudo insertar el valor stereoVolumeReference
2025-12-01 00:57:12.387000,HIGH,error_message_checker,WebserviceManager,"Error leyendo finalizacion del evento, se asume no finalizado"
2025-12-01 00:57:12.387000,MEDIUM,warning_checker,WebserviceManager,"Error leyendo finalizacion del evento, se asume no finalizado"
