timestamp,severity,checker,module,message
2025-12-20 00:00:09.330000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HZPD19
2025-12-20 00:00:29.253000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HZPD19
2025-12-20 00:00:49.198000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HZPD19
2025-12-20 00:01:09.519000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HZPD19
2025-12-20 00:01:29.243000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HZPD19
2025-12-20 00:01:33.094000,HIGH,warning_checker,IDMan,Ignoring new ID: JSFS45 because is equal to id to process
2025-12-20 00:01:49.183000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HZPD19
2025-12-20 00:02:10.215000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HZPD19
2025-12-20 00:06:44.366000,HIGH,warning_checker,IDMan,Ignoring new ID: RRFG95 because is equal to id to process
2025-12-20 00:07:11.560000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 00:07:11.576000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 00:08:00.243000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolume
2025-12-20 00:08:00.243000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace useReferenceSolidVolumeData
2025-12-20 00:08:00.243000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeReference
2025-12-20 00:08:00.243000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 00:08:00.243000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace useReferenceStereoVolumeData
2025-12-20 00:08:00.243000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeReference
2025-12-20 00:08:00.243000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 00:08:00.243000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace weight
2025-12-20 00:08:00.243000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace weightVolumeRatio
2025-12-20 00:08:00.259000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace weightVolumeValidRange
2025-12-20 00:08:00.259000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace weight_volume_ratio_fulfilment
2025-12-20 00:08:01.462000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 00:08:01.493000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 00:09:04.154000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 00:09:04.154000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 00:09:13.740000,HIGH,warning_checker,IDMan,Ignoring new ID: PYFF82 because is equal to id to process
2025-12-20 00:11:04.818000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 00:11:04.834000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 00:12:08.446000,HIGH,warning_checker,IDMan,Ignoring new ID: PZRX44 because is equal to id to process
2025-12-20 00:13:34.041000,HIGH,warning_checker,IDMan,Ignoring new ID: PZRX38 because is equal to id to process
2025-12-20 00:15:23.198000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 00:15:23.198000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 00:15:34.280000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 00:15:34.296000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 00:18:03.900000,HIGH,warning_checker,MsmSystem,"Illegal change of state, from WAITING to READY"
2025-12-20 00:18:12.879000,HIGH,warning_checker,IDMan,Ignoring new ID: PYFF81 because is equal to id to process
2025-12-20 00:18:27.985000,HIGH,warning_checker,IDMan,Ignoring new ID: PYFF81 because is equal to id to process
2025-12-20 00:19:15.734000,HIGH,warning_checker,IDMan,Ignoring new ID: PSPZ82 because is equal to id to process
